Sno , Wardno Name      , Circleno Name     , Zone              , Assessor Address        , Latitude  , Longitude , Category
 424, 100-SANATH NAGAR , 17-KHAIRATABAD    , 17-KHAIRATABAD    , SANATHNAGAR             , 17.4565961, 78.4398009, FIRE STATIONS
 610, 104-KONDAPUR     , 20-SERILINGAMPALLY, 20-SERILINGAMPALLY, MADHAPUR                , 17.4493194, 78.3749978, FIRE STATIONS
 692, 105-GACHIBOWLI   , 20-SERILINGAMPALLY, 20-SERILINGAMPALLY, STATE TRAINING INSTITUTE, 17.4296726, 78.3101819, FIRE STATIONS
1293, 114-KPHB COLONY  , 23-MOOSAPET       , 23-MOOSAPET       , KUKATPALLY              , 17.49211  , 78.391776 , FIRE STATIONS
1976, 13-HAYATHNAGAR   , 3-HAYATHNAGAR     , 3-HAYATHNAGAR     , HAYATNAGAR              , 17.3282474, 78.5911386, FIRE STATIONS
2126, 130-SUBHASH NAGAR, 25-QUTUBULLAPUR   , 25-QUTUBULLAPUR   , JEEDIMETLA              , 17.5287707, 78.4391777, FIRE STATIONS
2781, 140-MALKAJGIRI   , 28-MALKAJGIRI     , 28-MALKAJGIRI     , MALKAJGIRI              , 17.4512468, 78.5354325, FIRE STATIONS
3312, 149-BEGUMPET     , 30-BEGUMPET       , 30-BEGUMPET       , SECUNDERABAD            , 17.4428416, 78.4880261, FIRE STATIONS
4685, 27-AKBERBAGH     , 6-MALAKPET        , 6-MALAKPET        , MALAKPET                , 17.3684301, 78.5019477, FIRE STATIONS
5061, 30-DABEERPURA    , 6-MALAKPET        , 6-MALAKPET        , SALARJUNG MUSEUM        , 17.3715791, 78.4798362, FIRE STATIONS
5185, 33-MOGHALPURA    , 9-CHARMINAR       , 9-CHARMINAR       , MOGHALPURA              , 17.3595747, 78.4767231, FIRE STATIONS
5683, 49-GANSIBAZAR    , 9-CHARMINAR       , 9-CHARMINAR       , HIGH COURT              , 17.3698033, 78.4723808, FIRE STATIONS
5761, 5-MALLAPUR       , 1-KAPRA           , 1-KAPRA           , MOULAALI                , 17.4387571, 78.5581457, FIRE STATIONS
5844, 50-BEGUMBAZAR    , 14-GOSHAMAHAL     , 14-GOSHAMAHAL     , GOWLIGUDA               , 17.3796084, 78.4790509, FIRE STATIONS
6011, 54-JAHANUMA      , 10-FALAKNUMA      , 10-FALAKNUMA      , CHANDULAL BARADARI      , 17.3531882, 78.4592327, FIRE STATIONS
6441, 60-RAJENDRANAGAR , 11-RAJENDRANAGAR  , 11-RAJENDRANAGAR  , RAJENDRA NAGAR (O/P)    , 17.3571914, 78.4252806, FIRE STATIONS
6701, 67-GOLKONDA      , 13-KARWAN         , 13-KARWAN         , LANGER HOUSE            , 17.3768619, 78.422115 , FIRE STATIONS
7501, 78-GUNFOUNDRY    , 14-GOSHAMAHAL     , 14-GOSHAMAHAL     , SECRETARIAT             , 17.4086942, 78.4712905, FIRE STATIONS
7502, 78-GUNFOUNDRY    , 14-GOSHAMAHAL     , 14-GOSHAMAHAL     , ASSEMBLY                , 17.4018052, 78.4678907, FIRE STATIONS
8003, 85-ADIKMET       , 15-MUSHEERABAD    , 15-MUSHEERABAD    , MUSHEERABAD             , 17.4080684, 78.5007369, FIRE STATIONS
8975, 95-JUBILEE HILLS , 18-JUBILEE HILLS  , 18-JUBILEE HILLS  , FILM NAGAR              , 17.4126934, 78.4089107, FIRE STATIONS
